Date,Open,High,Low,Close,Volume
2016-07-21,22.7263,22.9926,22.5669,22.6352,130808000
2016-07-22,22.5965,22.6056,22.3802,22.4599,113254800
2016-07-25,22.3666,22.5009,22.0638,22.1594,161531600
2016-07-26,22.0410,22.3028,21.9500,22.0069,224959200
2016-07-27,23.7370,23.7552,23.3910,23.4365,369379200
2016-07-28,23.4092,23.7780,23.4069,23.7530,159479200
2016-07-29,23.7188,23.8008,23.6027,23.7234,110934800
2016-08-01,23.7689,24.1650,23.7689,24.1423,152671600
2016-08-02,24.1422,24.1468,23.6756,23.7848,135266400
2016-08-03,23.8600,24.0944,23.8509,24.0831,120810400
2016-08-04,24.1655,24.2616,24.0968,24.2318,109634800
2016-08-05,24.3234,24.6392,24.3028,24.6003,162213600
2016-08-08,24.6095,24.8040,24.5271,24.8040,112148800
2016-08-09,24.7720,24.9345,24.7216,24.9047,105260800
2016-08-10,24.8819,24.9253,24.6644,24.7194,96034000
2016-08-11,24.8384,24.9322,24.6850,24.7033,109938000
2016-08-12,24.6690,24.8201,24.6690,24.7605,74641600
2016-08-15,24.7514,25.0718,24.7377,25.0581,103472800
2016-08-16,25.0924,25.2297,24.9963,25.0352,135177600
2016-08-17,24.9711,25.0329,24.7972,24.9986,101424000
2016-08-18,25.0009,25.0856,24.9528,24.9665,87938800
2016-08-19,24.8956,25.1062,24.8017,25.0306,101472400
2016-08-22,24.9162,24.9711,24.6850,24.8361,103280800
2016-08-23,24.8544,25.0215,24.8407,24.9139,85030800
2016-08-24,24.8498,24.8910,24.6461,24.7262,94700400
2016-08-25,24.5797,24.6919,24.4172,24.6209,100344800
2016-08-26,24.5843,24.7079,24.3325,24.4767,111065200
2016-08-29,24.4035,24.5912,24.3280,24.4493,99881200
2016-08-30,24.2158,24.3760,24.1471,24.2616,99455600
2016-08-31,24.1838,24.3920,24.1792,24.2845,118649600
2016-09-01,24.2936,24.4447,24.1746,24.4287,106806000
2016-09-02,24.6507,24.7194,24.4493,24.6576,107210000
2016-09-06,24.6965,24.7880,24.6072,24.6507,107521600
2016-09-07,24.6804,24.8933,24.5065,24.8018,169457200
2016-09-08,24.5477,24.5523,24.0876,24.1517,212008000
2016-09-09,23.9503,24.1975,23.6047,23.6047,186228000
2016-09-12,23.4948,24.1975,23.4674,24.1334,181171200
2016-09-13,24.6072,24.9002,24.5454,24.7079,248704800
2016-09-14,24.8864,25.8706,24.8567,25.5822,443554800
2016-09-15,26.0606,26.4886,25.9759,26.4520,359934400
2016-09-16,26.3490,26.5802,26.1018,26.3032,319547600
2016-09-19,26.3650,26.5916,25.9210,25.9965,188092000
2016-09-20,25.8752,26.1201,25.7516,25.9942,138057200
2016-09-21,26.0583,26.0904,25.7356,25.9896,144012800
2016-09-22,26.1728,26.3078,26.0926,26.2346,124296000
2016-09-23,26.1888,26.2735,25.5319,25.7974,209924800
2016-09-26,25.5525,25.9530,25.5319,25.8363,119477600
2016-09-27,25.8638,25.9050,25.7127,25.8844,98429600
2016-09-28,26.0217,26.2391,25.9622,26.0812,118564400
2016-09-29,25.9004,26.0469,25.5891,25.6761,143548000
2016-09-30,25.7402,25.9484,25.5891,25.8752,145516400
2016-10-03,25.7974,25.8752,25.6990,25.7539,86807200
2016-10-04,25.8775,26.1636,25.7791,25.8638,118947200
2016-10-05,25.9553,26.0148,25.7928,25.8752,85812400
2016-10-06,26.0240,26.1705,25.8935,26.0675,115117200
2016-10-07,26.1636,26.2208,25.9805,26.1064,97433600
2016-10-10,26.3261,26.7221,26.2574,26.5619,144944000
2016-10-11,26.9395,27.1661,26.5962,26.6191,256164000
2016-10-12,26.8594,27.0036,26.7221,26.8571,150347200
2016-10-13,26.7312,26.8800,26.4863,26.7747,140769600
2016-10-14,26.9807,27.0471,26.8091,26.9235,142608800
2016-10-17,26.8548,26.9716,26.7289,26.9052,94499600
2016-10-18,27.0494,27.0562,26.8823,26.8869,98214000
2016-10-19,26.8365,26.9532,26.0469,26.8068,80138400
2016-10-20,26.7473,26.8663,26.6260,26.7930,96503200
2016-10-21,26.7358,26.7587,26.6145,26.6877,92770800
2016-10-24,26.8022,26.9487,26.7793,26.9281,94154800
2016-10-25,26.9967,27.0906,26.8503,27.0654,192516000
2016-10-26,26.1636,26.4818,25.9347,26.4566,264536800
2016-10-27,26.4108,26.5184,26.1155,26.2025,138248000
2016-10-28,26.0629,26.3696,25.9668,26.0286,151446800
2016-10-31,26.0125,26.1453,25.9095,25.9874,105677600
2016-11-01,25.9691,26.0400,25.2984,25.5182,175303200
2016-11-02,25.4976,25.7150,25.4586,25.5410,113326800
2016-11-03,25.5318,25.6423,25.2029,25.2673,107730400
2016-11-04,24.9682,25.3639,24.8716,25.0395,123348000
2016-11-07,25.3248,25.4237,25.1821,25.4007,130240000
2016-11-08,25.3777,25.7021,25.2374,25.5502,97016800
2016-11-09,25.2788,25.6101,24.8578,25.5088,236705600
2016-11-10,25.5571,25.5571,24.3470,24.7980,228538000
